Month,Day,Time of Day,Relative Humidity,Target Temperature
1,0,0,30,60
1,0,1,30,60
1,0,2,30,60
1,0,3,30,60
1,0,4,30,60
1,0,5,30,60
1,0,6,30,60
1,0,7,30,70
1,0,8,30,70
1,0,9,30,70
1,0,10,30,70
1,0,11,30,70
1,0,12,30,70
1,0,13,30,70
1,0,14,30,70
1,0,15,30,70
1,0,16,30,70
1,0,17,30,70
1,0,18,30,70
1,0,19,30,70
1,0,20,30,70
1,0,21,30,70
1,0,22,30,70
1,0,23,30,60
1,0,0,50,60
1,0,1,50,60
1,0,2,50,60
1,0,3,50,60
1,0,4,50,60
1,0,5,50,60
1,0,6,50,60
1,0,7,50,67
1,0,8,50,67
1,0,9,50,67
1,0,10,50,67
1,0,11,50,67
1,0,12,50,67
1,0,13,50,67
1,0,14,50,67
1,0,15,50,67
1,0,16,50,67
1,0,17,50,67
1,0,18,50,67
1,0,19,50,67
1,0,20,50,67
1,0,21,50,67
1,0,22,50,67
1,0,23,50,60
1,0,0,70,57
1,0,1,70,57
1,0,2,70,57
1,0,3,70,57
1,0,4,70,57
1,0,5,70,57
1,0,6,70,57
1,0,7,70,65
1,0,8,70,65
1,0,9,70,65
1,0,10,70,65
1,0,11,70,65
1,0,12,70,65
1,0,13,70,65
1,0,14,70,65
1,0,15,70,65
1,0,16,70,65
1,0,17,70,65
1,0,18,70,65
1,0,19,70,65
1,0,20,70,65
1,0,21,70,65
1,0,22,70,65
1,0,23,70,57
1,1,0,30,60
1,1,1,30,60
1,1,2,30,60
1,1,3,30,60
1,1,4,30,60
1,1,5,30,60
1,1,6,30,60
1,1,7,30,70
1,1,8,30,70
1,1,9,30,70
1,1,10,30,65
1,1,11,30,65
1,1,12,30,65
1,1,13,30,65
1,1,14,30,65
1,1,15,30,65
1,1,16,30,65
1,1,17,30,65
1,1,18,30,70
1,1,19,30,70
1,1,20,30,70
1,1,21,30,70
1,1,22,30,70
1,1,23,30,60
1,1,0,50,60
1,1,1,50,60
1,1,2,50,60
1,1,3,50,60
1,1,4,50,60
1,1,5,50,60
1,1,6,50,60
1,1,7,50,67
1,1,8,50,67
1,1,9,50,67
1,1,10,50,62
1,1,11,50,62
1,1,12,50,62
1,1,13,50,62
1,1,14,50,62
1,1,15,50,62
1,1,16,50,62
1,1,17,50,62
1,1,18,50,67
1,1,19,50,67
1,1,20,50,67
1,1,21,50,67
1,1,22,50,67
1,1,23,50,60
1,1,0,70,60
1,1,1,70,60
1,1,2,70,60
1,1,3,70,60
1,1,4,70,60
1,1,5,70,60
1,1,6,70,60
1,1,7,70,65
1,1,8,70,65
1,1,9,70,65
1,1,10,70,60
1,1,11,70,60
1,1,12,70,60
1,1,13,70,60
1,1,14,70,60
1,1,15,70,60
1,1,16,70,60
1,1,17,70,60
1,1,18,70,65
1,1,19,70,65
1,1,20,70,65
1,1,21,70,65
1,1,22,70,65
1,1,23,70,60
1,2,0,30,60
1,2,1,30,60
1,2,2,30,60
1,2,3,30,60
1,2,4,30,60
1,2,5,30,60
1,2,6,30,60
1,2,7,30,70
1,2,8,30,70
1,2,9,30,70
1,2,10,30,65
1,2,11,30,65
1,2,12,30,65
1,2,13,30,65
1,2,14,30,65
1,2,15,30,65
1,2,16,30,65
1,2,17,30,65
1,2,18,30,70
1,2,19,30,70
1,2,20,30,70
1,2,21,30,70
1,2,22,30,70
1,2,23,30,60
1,2,0,50,60
1,2,1,50,60
1,2,2,50,60
1,2,3,50,60
1,2,4,50,60
1,2,5,50,60
1,2,6,50,60
1,2,7,50,67
1,2,8,50,67
1,2,9,50,67
1,2,10,50,62
1,2,11,50,62
1,2,12,50,62
1,2,13,50,62
1,2,14,50,62
1,2,15,50,62
1,2,16,50,62
1,2,17,50,62
1,2,18,50,67
1,2,19,50,67
1,2,20,50,67
1,2,21,50,67
1,2,22,50,67
1,2,23,50,60
1,2,0,70,60
1,2,1,70,60
1,2,2,70,60
1,2,3,70,60
1,2,4,70,60
1,2,5,70,60
1,2,6,70,60
1,2,7,70,65
1,2,8,70,65
1,2,9,70,65
1,2,10,70,60
1,2,11,70,60
1,2,12,70,60
1,2,13,70,60
1,2,14,70,60
1,2,15,70,60
1,2,16,70,60
1,2,17,70,60
1,2,18,70,65
1,2,19,70,65
1,2,20,70,65
1,2,21,70,65
1,2,22,70,65
1,2,23,70,60
1,3,0,30,60
1,3,1,30,60
1,3,2,30,60
1,3,3,30,60
1,3,4,30,60
1,3,5,30,60
1,3,6,30,60
1,3,7,30,70
1,3,8,30,70
1,3,9,30,70
1,3,10,30,65
1,3,11,30,65
1,3,12,30,65
1,3,13,30,65
1,3,14,30,65
1,3,15,30,65
1,3,16,30,65
1,3,17,30,65
1,3,18,30,70
1,3,19,30,70
1,3,20,30,70
1,3,21,30,70
1,3,22,30,70
1,3,23,30,60
1,3,0,50,60
1,3,1,50,60
1,3,2,50,60
1,3,3,50,60
1,3,4,50,60
1,3,5,50,60
1,3,6,50,60
1,3,7,50,67
1,3,8,50,67
1,3,9,50,67
1,3,10,50,62
